# Time-averaged data for fix 1
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
388 1544.91 -58.6562 44928.1 -44.2409 8.1875
389 1548.6 -50.42 44902.7 -44.2484 8.20704
390 1553.5 -42.1455 44877.2 -44.2617 8.23305
391 1560.28 -34.1831 44851.6 -44.2845 8.26899
392 1569.53 -26.261 44825.9 -44.3199 8.31797
393 1581.7 -18.5571 44800 -44.3703 8.38249
394 1597.11 -11.2237 44774.2 -44.4373 8.46414
395 1615.83 -4.36594 44748.3 -44.5214 8.56338
396 1637.73 1.99905 44722.4 -44.6218 8.67941
397 1662.39 8.13145 44696.5 -44.7363 8.81011
398 1689.2 13.5958 44670.7 -44.8616 8.95219
399 1717.37 18.7602 44644.9 -44.9934 9.10147
400 1746.08 23.2554 44619.2 -45.1274 9.25362
401 1770.43 25.4025 44619.2 -45.2566 9.38271
402 1793.82 27.7658 44619.2 -45.3804 9.50663
403 1815.58 30.5922 44619.2 -45.4954 9.62198
404 1835.21 33.8525 44619.3 -45.5988 9.72601
405 1852.29 37.7695 44619.4 -45.6886 9.81651
406 1866.49 43.208 44619.5 -45.7629 9.89176
407 1877.55 50.6395 44619.6 -45.8204 9.95038
408 1885.36 58.8237 44619.8 -45.8603 9.99179
409 1889.74 64.405 44620 -45.8822 10.015
410 1890.63 71.9689 44620.2 -45.8852 10.0197
411 1888.5 78.8107 44620.4 -45.8721 10.0084
412 1883.81 85.738 44620.8 -45.8453 9.98357
413 1876.92 93.0541 44621.1 -45.8068 9.94707
414 1868.19 101.039 44621.5 -45.7584 9.90077
415 1857.93 110.214 44622 -45.7019 9.8464
416 1846.36 121.235 44622.5 -45.6384 9.78508
417 1833.49 134.769 44623.1 -45.568 9.71686
418 1819.55 147.206 44623.7 -45.4908 9.64303
419 1805.26 157.099 44624.5 -45.4123 9.56727
420 1791.11 166.631 44625.3 -45.3345 9.49227
421 1777.3 175.61 44626.2 -45.2583 9.41908
422 1763.99 182.842 44627.2 -45.1846 9.34855
423 1751.36 189.809 44628.3 -45.1142 9.28161
424 1739.64 196.653 44629.5 -45.0485 9.21953
425 1729.12 203.491 44630.8 -44.9889 9.16374
426 1720.04 210.303 44632.2 -44.9368 9.11561
427 1712.6 216.864 44633.8 -44.8932 9.07623
428 1706.95 223.191 44635.4 -44.8588 9.04628
429 1703.16 229.542 44637.1 -44.8341 9.0262
430 1701.33 235.563 44639 -44.8193 9.01647
431 1701.68 239.826 44641 -44.816 9.01833
432 1704.41 243.628 44643.2 -44.8251 9.03281
433 1709.57 246.912 44645.4 -44.8467 9.06013
434 1717.18 248.685 44647.8 -44.881 9.10047
435 1727.24 249.427 44650.3 -44.9282 9.1538
436 1739.64 248.998 44653 -44.9875 9.21953
437 1754.12 246.545 44655.7 -45.0574 9.29623
438 1770.39 243.818 44658.7 -45.1366 9.38247
439 1788.23 240.867 44661.7 -45.2238 9.47703
440 1807.34 237.579 44664.9 -45.3173 9.57828
441 1827.54 231.846 44668.1 -45.4164 9.68535
442 1848.7 225.225 44671.6 -45.5203 9.79747
443 1870.5 217.706 44675.1 -45.6273 9.91301
444 1892.64 209.302 44678.8 -45.7358 10.0304
445 1914.82 200.04 44682.5 -45.8443 10.1479
446 1936.66 188.038 44686.4 -45.9509 10.2637
447 1957.77 174.922 44690.4 -46.0531 10.3755
448 1977.95 161.833 44694.4 -46.1501 10.4825
449 1997.06 147.344 44698.6 -46.2415 10.5838
450 2014.99 132.127 44702.8 -46.3262 10.6788
451 2031.27 113.048 44707.1 -46.4019 10.765
452 2045.73 96.0937 44711.5 -46.4677 10.8417
453 2058.86 80.8436 44715.9 -46.5264 10.9113
454 2071.07 66.6009 44720.3 -46.5802 10.976
455 2082.64 52.8713 44724.8 -46.6305 11.0373
456 2093.75 39.3504 44729.4 -46.6783 11.0962
457 2104.5 25.8942 44733.9 -46.7243 11.1531
458 2114.92 12.0683 44738.5 -46.7685 11.2084
459 2124.96 -2.15888 44743.1 -46.8106 11.2616
460 2134.54 -16.0139 44747.7 -46.8503 11.3123
461 2143.51 -30.3051 44752.3 -46.8869 11.3599
462 2151.66 -43.9973 44756.8 -46.919 11.4031
463 2158.83 -56.5359 44761.4 -46.946 11.4411
464 2164.92 -68.061 44765.9 -46.9673 11.4733
465 2169.74 -78.715 44770.4 -46.9819 11.4989
466 2173.13 -88.6132 44774.9 -46.9891 11.5168
467 2174.87 -97.8195 44779.3 -46.9876 11.5261
468 2174.79 -106.325 44783.7 -46.9766 11.5257
469 2172.7 -114.023 44788 -46.955 11.5146
470 2168.42 -120.64 44792.3 -46.922 11.4919
471 2161.79 -125.748 44796.5 -46.8766 11.4568
472 2152.65 -128.814 44800.6 -46.8181 11.4083
473 2140.82 -129.345 44804.7 -46.7455 11.3457
474 2126.62 -132.401 44808.7 -46.6603 11.2704
475 2110.48 -134.415 44812.7 -46.565 11.1848
476 2092.47 -136.243 44816.6 -46.4602 11.0894
477 2072.59 -137.964 44820.4 -46.3452 10.984
478 2050.98 -138.03 44824.2 -46.2213 10.8695
479 2027.84 -136.051 44827.8 -46.0893 10.7469
480 2003.38 -132.946 44831.5 -45.9504 10.6172
481 1977.81 -128.895 44835 -45.8057 10.4817
482 1951.36 -124.035 44838.5 -45.6564 10.3416
483 1924.27 -118.468 44841.9 -45.5037 10.198
484 1896.79 -112.253 44845.3 -45.3488 10.0524
485 1869.17 -105.403 44848.6 -45.1933 9.906
486 1841.66 -97.8737 44851.9 -45.0382 9.76019
487 1814.47 -89.5585 44855.1 -44.8848 9.61606
488 1787.75 -80.2731 44858.3 -44.7338 9.47448
489 1761.61 -69.7491 44861.4 -44.5858 9.33592
490 1736.03 -57.634 44864.5 -44.4407 9.20038
491 1711.07 -45.061 44867.6 -44.2981 9.06808
492 1687.1 -34.9603 44870.7 -44.1611 8.94105
493 1664.5 -24.8333 44873.7 -44.031 8.8213
494 1643.37 -14.7175 44876.7 -43.9086 8.7093
495 1623.76 -4.63315 44879.8 -43.7939 8.60538
496 1605.71 5.42308 44882.8 -43.6872 8.50971
497 1589.21 15.4578 44885.8 -43.5885 8.42226
498 1574.23 25.4844 44888.9 -43.4975 8.34291
499 1560.74 35.4098 44891.9 -43.414 8.27138
500 1548.65 45.2457 44895 -43.3376 8.20734
501 1537.9 55.0828 44898.1 -43.2679 8.15038
502 1528.41 64.8951 44901.3 -43.2044 8.10006
503 1520.08 74.6684 44904.4 -43.1467 8.05593
504 1512.83 84.2521 44907.7 -43.0942 8.0175
505 1506.56 93.7272 44910.9 -43.0465 7.98424
506 1501.14 103.262 44914.2 -43.0028 7.95555
507 1496.45 113 44917.6 -42.9625 7.93069
